16 May 2022 - 09:54:04.622 [main] INFO  d.d.c.DefaultControllerTest - Starting DefaultControllerTest using Java 11.0.11 on DESKTOP-7I4BO0A with PID 10312 (started by USER in C:\Users\USER\Documents\Spring\dating)
16 May 2022 - 09:54:04.624 [main] INFO  d.d.c.DefaultControllerTest - No active profile set, falling back to default profiles: default
16 May 2022 - 09:54:05.488 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/icons/*'] with []
16 May 2022 - 09:54:05.488 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/**/*.css'] with []
16 May 2022 - 09:54:05.488 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/static/**'] with []
16 May 2022 - 09:54:05.875 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@28fa541, org.springframework.security.web.context.SecurityContextPersistenceFilter@70d5d96b, org.springframework.security.web.header.HeaderWriterFilter@618f627b, org.springframework.security.web.authentication.logout.LogoutFilter@6c24f61d, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6a1d1467, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5611bba, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@29d2fa84, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5a82bc58, org.springframework.security.web.session.SessionManagementFilter@72715e61, org.springframework.security.web.access.ExceptionTranslationFilter@24a8e40d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@60f9dc7e]
16 May 2022 - 09:54:06.158 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
16 May 2022 - 09:54:06.327 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
16 May 2022 - 09:54:06.328 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
16 May 2022 - 09:54:06.328 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
16 May 2022 - 09:54:06.353 [main] INFO  d.d.c.DefaultControllerTest - Started DefaultControllerTest in 2.03 seconds (JVM running for 3.688)
16 May 2022 - 09:58:31.525 [main] INFO  d.d.c.DefaultControllerTest - Starting DefaultControllerTest using Java 11.0.11 on DESKTOP-7I4BO0A with PID 8064 (started by USER in C:\Users\USER\Documents\Spring\dating)
16 May 2022 - 09:58:31.527 [main] INFO  d.d.c.DefaultControllerTest - No active profile set, falling back to default profiles: default
16 May 2022 - 09:58:32.428 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/icons/*'] with []
16 May 2022 - 09:58:32.428 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/**/*.css'] with []
16 May 2022 - 09:58:32.428 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/static/**'] with []
16 May 2022 - 09:58:32.808 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@28fa541, org.springframework.security.web.context.SecurityContextPersistenceFilter@70d5d96b, org.springframework.security.web.header.HeaderWriterFilter@618f627b, org.springframework.security.web.authentication.logout.LogoutFilter@6c24f61d, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6a1d1467, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5611bba, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@29d2fa84, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5a82bc58, org.springframework.security.web.session.SessionManagementFilter@72715e61, org.springframework.security.web.access.ExceptionTranslationFilter@24a8e40d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@60f9dc7e]
16 May 2022 - 09:58:33.079 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
16 May 2022 - 09:58:33.246 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
16 May 2022 - 09:58:33.246 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
16 May 2022 - 09:58:33.246 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
16 May 2022 - 09:58:33.277 [main] INFO  d.d.c.DefaultControllerTest - Started DefaultControllerTest in 2.069 seconds (JVM running for 3.751)
16 May 2022 - 10:00:35.990 [main] INFO  d.d.c.DefaultControllerTest - Starting DefaultControllerTest using Java 11.0.11 on DESKTOP-7I4BO0A with PID 14652 (started by USER in C:\Users\USER\Documents\Spring\dating)
16 May 2022 - 10:00:35.992 [main] INFO  d.d.c.DefaultControllerTest - No active profile set, falling back to default profiles: default
16 May 2022 - 10:00:36.869 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/icons/*'] with []
16 May 2022 - 10:00:36.870 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/**/*.css'] with []
16 May 2022 - 10:00:36.870 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/static/**'] with []
16 May 2022 - 10:00:37.259 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@28fa541, org.springframework.security.web.context.SecurityContextPersistenceFilter@70d5d96b, org.springframework.security.web.header.HeaderWriterFilter@618f627b, org.springframework.security.web.authentication.logout.LogoutFilter@6c24f61d, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6a1d1467, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5611bba, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@29d2fa84, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5a82bc58, org.springframework.security.web.session.SessionManagementFilter@72715e61, org.springframework.security.web.access.ExceptionTranslationFilter@24a8e40d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@60f9dc7e]
16 May 2022 - 10:00:37.548 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
16 May 2022 - 10:00:37.722 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
16 May 2022 - 10:00:37.722 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
16 May 2022 - 10:00:37.723 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
16 May 2022 - 10:00:37.748 [main] INFO  d.d.c.DefaultControllerTest - Started DefaultControllerTest in 2.062 seconds (JVM running for 3.718)
16 May 2022 - 10:07:36.551 [main] INFO  d.d.c.DefaultControllerTest - Starting DefaultControllerTest using Java 11.0.11 on DESKTOP-7I4BO0A with PID 10916 (started by USER in C:\Users\USER\Documents\Spring\dating)
16 May 2022 - 10:07:36.554 [main] INFO  d.d.c.DefaultControllerTest - No active profile set, falling back to default profiles: default
16 May 2022 - 10:07:37.425 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/icons/*'] with []
16 May 2022 - 10:07:37.425 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/**/*.css'] with []
16 May 2022 - 10:07:37.425 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/static/**'] with []
16 May 2022 - 10:07:37.810 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@628962e5, org.springframework.security.web.context.SecurityContextPersistenceFilter@5341e71a, org.springframework.security.web.header.HeaderWriterFilter@2bc0b8c8, org.springframework.security.web.authentication.logout.LogoutFilter@312a738d, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@43d3995f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6afeaf2d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@75452aea, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@410382cb, org.springframework.security.web.session.SessionManagementFilter@6463da36, org.springframework.security.web.access.ExceptionTranslationFilter@5a6195b8, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3c6bd624]
16 May 2022 - 10:07:38.091 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
16 May 2022 - 10:07:38.260 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
16 May 2022 - 10:07:38.261 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
16 May 2022 - 10:07:38.262 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
16 May 2022 - 10:07:38.288 [main] INFO  d.d.c.DefaultControllerTest - Started DefaultControllerTest in 2.039 seconds (JVM running for 3.816)
16 May 2022 - 10:07:38.323 [main] WARN  o.s.web.servlet.PageNotFound - No mapping for GET /findSoulmates
